"year_month,""month_of_release"",""passenger_type"",""direction"",""sex"",""age"",""estimate"",""standard_error"",""status"""
"2020-03,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""20-24 years"",1198,43,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""20-24 years"",60,6,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""20-24 years"",51,5,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""20-24 years"",77,6,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""20-24 years"",96,8,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""20-24 years"",130,10,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""20-24 years"",87,8,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""25-29 years"",963,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""25-29 years"",982,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""25-29 years"",1115,2,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""25-29 years"",1307,4,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""25-29 years"",1423,6,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""25-29 years"",1674,10,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""25-29 years"",1584,27,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""25-29 years"",1690,32,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""25-29 years"",1661,37,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""25-29 years"",2019,35,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""25-29 years"",1965,43,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""25-29 years"",115,7,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""25-29 years"",94,7,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""25-29 years"",162,9,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""25-29 years"",182,10,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""25-29 years"",279,15,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""25-29 years"",232,14,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""25-29 years"",927,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""25-29 years"",947,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""25-29 years"",1191,2,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""25-29 years"",1118,4,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""25-29 years"",1277,6,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""25-29 years"",1707,15,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""25-29 years"",1807,33,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""25-29 years"",1413,28,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""25-29 years"",1342,32,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""25-29 years"",2028,49,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""25-29 years"",1733,49,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""25-29 years"",98,7,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""25-29 years"",75,7,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""25-29 years"",122,8,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""25-29 years"",157,10,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""25-29 years"",239,14,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""25-29 years"",186,12,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""30-34 years"",725,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""30-34 years"",684,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""30-34 years"",774,2,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""30-34 years"",860,3,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""30-34 years"",940,5,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""30-34 years"",1066,7,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""30-34 years"",991,15,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""30-34 years"",1156,21,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""30-34 years"",1159,23,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""30-34 years"",1270,24,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""30-34 years"",1212,29,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""30-34 years"",62,6,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""30-34 years"",73,6,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""30-34 years"",111,7,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""30-34 years"",147,10,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""30-34 years"",244,14,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""30-34 years"",195,13,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""30-34 years"",811,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""30-34 years"",777,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""30-34 years"",856,2,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""30-34 years"",969,5,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""30-34 years"",1039,7,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""30-34 years"",1397,16,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""30-34 years"",1345,27,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""30-34 years"",1211,24,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""30-34 years"",1256,25,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""30-34 years"",1564,43,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""30-34 years"",1429,42,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""30-34 years"",85,7,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""30-34 years"",76,6,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""30-34 years"",106,7,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""30-34 years"",141,10,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""30-34 years"",220,13,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""30-34 years"",187,13,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""35-39 years"",405,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""35-39 years"",474,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""35-39 years"",583,1,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""35-39 years"",572,3,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""35-39 years"",547,5,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""35-39 years"",597,6,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""35-39 years"",599,12,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""35-39 years"",791,16,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""35-39 years"",870,18,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""35-39 years"",731,16,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""35-39 years"",637,18,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""35-39 years"",52,4,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""35-39 years"",46,5,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""35-39 years"",83,6,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""35-39 years"",107,8,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""35-39 years"",133,10,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""35-39 years"",136,11,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""35-39 years"",599,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""35-39 years"",547,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""35-39 years"",632,3,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""35-39 years"",753,6,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""35-39 years"",805,7,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""35-39 years"",946,13,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""35-39 years"",916,22,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""35-39 years"",821,18,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""35-39 years"",989,21,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""35-39 years"",1143,37,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""35-39 years"",880,30,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""35-39 years"",45,4,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""35-39 years"",55,5,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""35-39 years"",84,7,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""35-39 years"",101,8,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""35-39 years"",158,11,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""35-39 years"",155,12,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""40-44 years"",263,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""40-44 years"",291,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""40-44 years"",399,1,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""40-44 years"",349,2,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""40-44 years"",363,4,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""40-44 years"",395,6,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""40-44 years"",396,11,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""40-44 years"",573,14,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""40-44 years"",659,16,""Provisional"""
